Encuestadora,Federico Gutiérrez,Rodolfo Hernández
CELAG,22.971548998946258,12.118018967334034
CNC,23.085460599334077,21.198668146503888
Guarumo,31.557377049180328,20.799180327868854
Invamer,27.078891257995735,20.895522388059703
MassiveCaller,27.5,12.9
Mosqueteros,22.42,15.84
TYSE,24.997079780399485,12.732157458240861
YanHaas,22.340425531914892,12.76595744680851
